First_station,Second_station,Colour,Distance
Hyde_Park_Corner,Green_Park,#0015ff,0.9
Green_Park,Piccadilly_Circus,#0015ff,0.5
Piccadilly_Circus,Leicester_Square,#0015ff,0.6
Leicester_Square,Covent_Garden,#0015ff,0.3
Covent_Garden,Holborn,#0015ff,0.5
Victoria,Green_Park,#2e9ddb,1.2
Green_Park,Oxford_Circus,#2e9ddb,1.0
Oxford_Circus,Warren_Street,#2e9ddb,1.2
Warren_Street,Euston,#2e9ddb,0.5
Euston,King_Cross,#2e9ddb,0.7
Embankment,Charing_Cross,#aa5516,0.3
Charing_Cross,Piccadilly_Circus,#aa5516,0.6
Piccadilly_Circus,Oxford_Circus,#aa5516,0.9
Oxford_Circus,Regens_Park,#aa5516,1.0
Regens_Park,Baker_Street_Station,#aa5516,0.8
Waterloo,Charing_Cross,#262324,1.4
Charing_Cross,Leicester_Square,#262324,0.4
Leicester_Square,Goodge_Street,#262324,1.1
Goodge_Street,Warren_Street,#262324,0.5
Warren_Street,Mornington_Crescent,#262324,1.3
